row_id,token_before,token_after,before_text,after_text,gt_text
3284,Логиадей,Лошадей,Логиадей,Лошадей,Лошадей
3318,срядъ,средъ,срядъ,средъ,ерядъ
3325,Осурцовъ,Островъ,Осурцовъ,Островъ,Огурцовъ
3371,наэти,наоти,наэти,наоти,наоти
3436,Надворня,Надворья,Надворня,Надворья,Надворный
3504,Сикитинъ,Ситинъ,Сикитинъ,Ситинъ,викитинъ
3709,Кортусу:,Коитусу:,Кортусу:,Коитусу:,Корпусу:
3878,Моркое,Морское,Моркое,Морское,Морское
3919,палковъ,панковъ,палковъ,панковъ,полковъ
4050,пелей,пещей,пелей,пещей,гелей
4084,Конол,Конго,Конол,Конго,Эконол
4280,Шимен,Шимъ,Шимен,Шимъ,Шилин
4336,Потылищинъ.,Потылицинъ.,Потылищинъ.,Потылицинъ.,Потылицинъ.
4344,Мокскевъ.,Моксеевъ.,Мокскевъ.,Моксеевъ.,Моксеевъ.
4431,Расколь,Раскола,Расколь,Раскола,Расколѣ
4507,Iудействующую,Іудействующую,Iудействующую,Іудействующую,гу действующую
4686,Прилѣчаніе.,Примѣчаніе.,Прилѣчаніе.,Примѣчаніе.,Примѣчаніе.
4729,Думоѣ,Думѣ,Думоѣ,Думѣ,Думѣ
4917,Сида,Сира,Сида,Сира,Суда
4983,бунскаго,бурскаго,бунскаго,бурскаго,бернскаго
