row_id,token_before,token_after,before_text,after_text,gt_text
1316,копескъ,копейскъ,копескъ,копейскъ,копѣекъ
1320,рубла,рублѣ,3 рубла,3 рублѣ,3 рубли
1333,Подонесенію,Поднесенію,Подонесенію,Поднесенію,По донесенію
1439,Оскорѣшеніемъ,Оскорбленіемъ,Оскорѣшеніемъ,Оскорбленіемъ,О скорѣйшемъ
1462,допипъ,допивъ,допипъ,допивъ,одинъ
1486,стивѣсшему,стивѣйшему,стивѣсшему,стивѣйшему,стивѣйшему
1541,расложенія,разложенія,расложенія,разложенія,разложенія
1618,вышеноказанныхъ,вышепоказанныхъ,вышеноказанныхъ,вышепоказанныхъ,вышепоказанныхъ
1619,учеблыкъ,учебникъ,учеблыкъ,учебникъ,учебныхъ
1642,череди,череду,череди,череду,очереди
1757,увелычивается;,увеличивается;,увелычивается;,увеличивается;,увеличивается;
1831,чрезвычай,чрезвычайну,чрезвычай но,чрезвычайну но,чрезвычайно
1879,причнанныхъ,признанныхъ,причнанныхъ,признанныхъ,признанныхъ
1896,Гавриля,Гаврилѣ,Гавриля Типо,Гаврилѣ Типо,Гаврила Тихо
1949,хлѣбна,хлѣбная,хлѣбна,хлѣбная,хлѣбно
2010,Покопіи,Покопай,Покопіи,Покопай,По копіи
2011,постановлен,постановлено,постановлен,постановлено,постановлені
2040,проному,проношу,проному,проношу,пооному
2061,Исправляющъ,Исправляюща,Исправляющъ,Исправляюща,Исправляюща
2084,Гилева,Гилевѣ,Гилева,Гилевѣ,Гилевѣ
2096,Туруха,Турухан,Туруха,Турухан,Турухан
2165,магазинов,магазиновъ,магазинов,магазиновъ,магазиновъ
2182,инбажскаго,инбатскаго,инбажскаго,инбатскаго,инбатского
2183,кладочка,кладочная,с кладочка,с кладочная,складочка
2204,налѣба.,налѣзъ.,налѣба.,налѣзъ.,и хлѣба.
2208,Поручина,Поручила,Поручина,Поручила,Поручика
2221,отнош,отноше,отнош,отноше,отноше
2236,Очемь,Очемъ,Очемь,Очемъ,Очемъ
2270,Итола,Итотѣ,Отдѣленія Итола,Отдѣленія Итотѣ,Отдѣленія 1 Стола
2275,непалученію,неполученію,По непалученію,По неполученію,По неполученію
2304,железныхъ,желейныхъ,железныхъ,желейныхъ,желѣзныхъ
2313,Батай,Бата,въ Батай,въ Бата,въ Баталі
2357,Ивано,Иваном,волости Ивано Сухоров,волости Иваном Сухоров,волости Ивана Сухфа
2443,окому,окомъ,окому под-,окомъ под-,оному под-
2444,мость,мост,мость Минусинскаго округа,мост Минусинскаго округа,лость Минусинскаго округа
2450,долотность,добротность,долотность,добротность,должность
2464,Похабод,Похабовъ,Похабод,Похабовъ,Похабову
2545,ереса,ереси,ереса,ереси,"ереси, а"
2564,"надонесенія,","нанесенія,","надонесенія,","нанесенія,","на донесенія,"
2622,Саррь,Саррѣ,Саррь,Саррѣ,Сарры
2640,Менеровичевой,Мейеровичевой,Менеровичевой,Мейеровичевой,Мейеровичевой
2666,пороздаеѣ,пороздачѣ,пороздаеѣ,пороздачѣ,пороздачѣ
2679,взыскаными,взысканными,взыскаными съ,взысканными съ,взысканымъ съ
2681,Таускева,Тауснева,Таускева,Тауснева,Тауснева
2697,"претенций,","претендуй,","претенций,","претендуй,","претензій,"
2705,Мѣщаниня,Мѣщанину,Мѣщаниня,Мѣщанину,Мѣщанина
2707,Малѣсъ,Малѣевъ,Малѣсъ,Малѣевъ,Малѣевъ
2711,Авгуфе,Авгу,Авгуфе,Авгу,Августа
2743,"Комиссии,","Комиссіи,","Комиссии,","Комиссіи,","Коммисіи,"
2787,производот,производить,производот,производить,производст
2803,Коммина,Коммуна,Коммина,Коммуна,Коммисію
2840,Командиро,Командиръ,Командиро,Командиръ,Командира
3110,Туруханско,Туруханской,Туруханско,Туруханской,Туруханскъ
3200,недостастъ,недостаетъ,недостастъ,недостаетъ,недостаетъ
3251,залогукъ,залогу,залогукъ,залогу,залогу къ
3272,приплду,приплоду,приплду,приплоду,приплоду:
3284,Логиадей,Лошадей,Логиадей,Лошадей,Лошадей
3318,срядъ,сряду,срядъ,сряду,ерядъ
3436,Надворня,Надворная,Надворня,Надворная,Надворный
3504,Сикитинъ,Ситинъ,Сикитинъ,Ситинъ,викитинъ
3709,Кортусу:,Корпусу:,Кортусу:,Корпусу:,Корпусу:
3878,Моркое,Моркови,Моркое,Моркови,Морское
3919,палковъ,палкою,палковъ,палкою,полковъ
4050,пелей,пеле,пелей,пеле,гелей
4084,Конол,Кономъ,Конол,Кономъ,Эконол
4336,Потылищинъ.,Потылицинъ.,Потылищинъ.,Потылицинъ.,Потылицинъ.
4344,Мокскевъ.,Моксеевъ.,Мокскевъ.,Моксеевъ.,Моксеевъ.
4431,Расколь,Расколы,Расколь,Расколы,Расколѣ
4501,пріемлющіх,пріемлющій,пріемлющіх,пріемлющій,пріемлющіе
4686,Прилѣчаніе.,Примѣчаніе.,Прилѣчаніе.,Примѣчаніе.,Примѣчаніе.
4729,Думоѣ,Думою,Думоѣ,Думою,Думѣ
4983,бунскаго,булонскаго,бунскаго,булонскаго,бернскаго
